GrLivArea,MSZoning,Exterior2nd,Exterior1st,BsmtQual,Foundation,ExterQual,HouseStyle,OverallQual,GarageCars,YearBuilt,TotalBsmtSF,FullBath,1stFlrSF,SalePrice
1339,RL,Plywood,BrkFace,TA,CBlock,TA,1Story,5,1,1958,1029,1,1339,139000
2376,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8,3,2005,1158,3,1158,325300
1108,RM,Wd Sdng,Wd Sdng,TA,PConc,TA,1.5Unf,7,1,1930,637,1,1108,139400
1795,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8,2,2002,1777,2,1795,230000
1060,RM,CmentBd,CemntBd,Gd,PConc,TA,1Story,5,2,1976,1040,1,1060,129900
1060,RL,Plywood,Plywood,TA,CBlock,TA,1Story,5,1,1968,1060,1,1060,154000
1600,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8,3,2007,1566,2,1600,256300
900,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5,2,1951,900,1,900,134800
1704,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8,3,2007,1704,2,1704,306000
1600,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5,1,1957,1484,1,1600,207500
520,RM,MetalSd,MetalSd,TA,BrkTil,TA,1Story,4,1,1927,520,1,520,68500
1317,C (all),BrkFace,BrkFace,TA,BrkTil,TA,2Story,4,1,1920,649,1,649,40000
1228,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1966,1228,1,1228,149350
1234,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8,2,2007,1234,2,1234,179900
1700,RL,BrkFace,BrkFace,TA,CBlock,TA,1Story,5,2,1959,1398,1,1700,165500
1561,RL,MetalSd,MetalSd,Ex,PConc,Ex,1Story,9,2,2005,1561,2,1561,277500
2452,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8,3,2004,1117,3,1132,309000
1097,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,5,2,1994,1097,1,1097,145000
1297,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5,2,1954,1297,1,1297,153000
1057,RL,VinylSd,VinylSd,TA,CBlock,TA,1Story,5,1,1953,1057,1,1057,109000
1152,RL,Plywood,AsbShng,,PConc,TA,1Story,4,0,1955,0,2,1152,82000
1324,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,6,2,1965,1088,2,1324,160000
1328,RL,VinylSd,VinylSd,TA,CBlock,TA,1Story,5,1,1959,1350,1,1328,170000
884,RL,HdBoard,HdBoard,Gd,CBlock,TA,SFoyer,5,2,1983,840,1,884,144000
938,RL,VinylSd,VinylSd,Gd,CBlock,TA,1Story,5,1,1975,938,1,938,130250
1150,RL,Wd Sdng,BrkFace,TA,CBlock,TA,1Story,5,1,1959,1150,1,1150,141000
1752,RL,MetalSd,MetalSd,Ex,PConc,Ex,1Story,9,2,2005,1752,2,1752,319900
2149,RL,VinylSd,VinylSd,Ex,PConc,Gd,1.5Fin,7,2,2003,1434,1,1518,239686
1656,FV,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8,3,2006,1656,2,1656,249700
1452,RM,MetalSd,MetalSd,TA,BrkTil,TA,2Story,4,0,1920,736,2,736,113000
955,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1966,955,1,955,127000
1470,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6,2,1997,794,2,794,177000
1176,RM,Wd Sdng,Wd Sdng,TA,PConc,TA,1.5Fin,6,2,1934,816,1,816,114500
816,RM,Wd Sdng,Wd Sdng,Gd,CBlock,Fa,1Story,5,2,1963,816,1,816,110000
1842,RL,Wd Shng,WdShing,Ex,CBlock,Gd,1Story,9,3,1981,1842,0,1842,385000
1360,RL,MetalSd,MetalSd,TA,CBlock,TA,SLvl,5,2,1955,384,1,1360,130000
1425,RL,Plywood,HdBoard,TA,CBlock,TA,1Story,6,2,1964,1425,2,1425,180500
1739,FV,MetalSd,MetalSd,Gd,PConc,Gd,2Story,8,2,1999,970,2,983,172500
1720,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2004,860,2,860,196500
2945,RL,VinylSd,VinylSd,Ex,PConc,Ex,2Story,10,3,2006,1410,3,1426,438780
780,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1972,780,1,780,124900
1158,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,6,2,2004,1158,1,1158,158000
1111,RM,MetalSd,MetalSd,TA,BrkTil,TA,2.5Unf,5,1,1920,530,1,581,101000
1370,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8,2,2006,1370,2,1370,202500
1710,RM,Stucco,Stucco,TA,BrkTil,TA,2Story,7,2,1921,576,2,902,140000
2034,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,7,2,1997,1057,2,1057,219500
2473,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8,3,2004,1143,2,1143,317000
2207,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,7,2,1970,1947,2,2207,180000
1479,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2003,1453,2,1479,226000
747,RM,MetalSd,MetalSd,TA,CBlock,TA,1Story,4,1,1945,747,1,747,80000
2287,RL,AsbShng,BrkFace,TA,CBlock,Gd,1.5Fin,7,2,1953,1304,2,1304,225000
2223,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,7,2,1973,2223,2,2223,244000
845,RL,Plywood,HdBoard,TA,CBlock,TA,1Story,4,2,1982,845,1,845,129500
1718,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,7,2,1998,832,2,885,185000
1086,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5,2,1954,1086,1,1086,144900
1605,RM,VinylSd,VinylSd,Fa,CBlock,Gd,2Story,3,1,1915,840,2,840,107400
988,RM,CmentBd,CemntBd,Gd,CBlock,TA,SLvl,4,1,1973,462,1,526,91000
952,RL,VinylSd,VinylSd,TA,CBlock,TA,1Story,4,1,1956,952,1,952,135750
1285,RM,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,5,1,1948,672,1,1072,127000
1768,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,4,0,1968,1768,2,1768,136500
1230,RM,Wd Sdng,Wd Sdng,TA,PConc,TA,2Story,5,2,1910,440,1,682,110000
2142,RL,VinylSd,VinylSd,Gd,CBlock,TA,2Story,6,1,1968,896,2,1182,193500
1337,RM,VinylSd,VinylSd,Ex,PConc,TA,1Story,6,2,1998,1237,2,1337,153500
1563,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,8,3,2007,1563,2,1563,245000
1065,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5,2,1960,1065,1,1065,126500
1474,RL,HdBoard,HdBoard,Gd,PConc,TA,SLvl,7,2,1995,384,2,804,168500
2417,RL,HdBoard,HdBoard,Gd,CBlock,Gd,2Story,8,2,1991,1288,2,1301,260000
1560,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2005,684,2,684,174000
1224,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2009,612,2,612,164500
1526,C (all),Plywood,Plywood,TA,CBlock,Fa,1.5Fin,3,0,1915,1013,1,1013,85000
990,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,4,0,1994,990,1,990,123600
1040,RL,Wd Sdng,BrkFace,,Slab,TA,1Story,4,2,1950,0,1,1040,109900
1235,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,2,1961,1235,1,1235,98600
964,RL,Wd Sdng,Wd Sdng,Gd,BrkTil,TA,1Story,5,2,1921,876,1,964,163500
2291,C (all),MetalSd,MetalSd,TA,BrkTil,TA,2.5Unf,6,2,1910,1214,2,1260,133900
1786,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6,2,1997,824,2,905,204750
1470,RL,VinylSd,VinylSd,Gd,PConc,Ex,2Story,6,2,1993,680,2,680,185000
1588,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,1999,1588,2,1588,214000
960,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,4,1,1965,960,1,960,94750
835,RL,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1Story,5,1,1920,458,1,835,83000
1225,RL,Plywood,Plywood,TA,CBlock,TA,1Story,4,0,1959,950,1,1225,128950
1610,RL,Plywood,Plywood,TA,PConc,TA,1Story,6,2,1977,1610,2,1610,205000
1732,RL,HdBoard,HdBoard,Gd,CBlock,Gd,2Story,6,2,1985,741,2,977,178000
1535,RL,HdBoard,HdBoard,,Slab,TA,1Story,5,2,1979,0,2,1535,118964
1226,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,7,3,2009,1226,2,1226,198900
1818,RM,Stucco,Stucco,TA,PConc,TA,1.5Fin,7,1,1931,1040,1,1226,169500
1992,FV,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8,2,2003,1053,2,1053,250000
1047,RM,VinylSd,VinylSd,Fa,BrkTil,TA,1Story,4,1,1885,641,1,1047,100000
789,RM,VinylSd,VinylSd,TA,CBlock,TA,1Story,5,1,1948,789,1,789,115000
1517,RM,CmentBd,CemntBd,TA,CBlock,TA,1.5Fin,5,0,1919,793,2,997,115000
1844,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,6,2,1977,1844,2,1844,190000
1855,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,6,1,1954,994,2,1216,136900
1430,RL,VinylSd,VinylSd,Gd,PConc,TA,SLvl,7,2,2000,384,2,774,180000
2696,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,7,3,2007,1264,2,1282,383970
2259,RL,Wd Sdng,Wd Sdng,Gd,CBlock,TA,1Story,6,2,1953,1809,2,2259,217000
2320,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,2Story,6,1,1945,1028,2,1436,259500
1458,FV,MetalSd,MetalSd,Gd,PConc,TA,2Story,6,2,1999,729,2,729,176000
1092,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5,1,1962,1092,1,1092,139000
1125,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,5,2,2006,1125,1,1125,155000
3222,RL,Plywood,Plywood,Gd,PConc,TA,2Story,7,3,1990,1673,3,1699,320000
1456,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2005,728,2,728,163990
988,RL,Plywood,Plywood,TA,CBlock,TA,SLvl,6,2,1969,938,1,988,180000
1123,RM,AsbShng,AsbShng,TA,PConc,TA,1.5Fin,4,1,1939,732,1,772,100000
1080,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,6,1,1958,1080,1,1080,136000
1199,RL,Plywood,Plywood,Gd,PConc,Gd,1Story,6,2,1993,1199,2,1199,153900
1586,RL,HdBoard,HdBoard,Gd,CBlock,TA,1Story,6,2,1979,1362,2,1586,181000
754,RM,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,6,0,1935,520,1,520,84500
958,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,6,2,1976,1078,2,958,128000
840,RM,Wd Sdng,WdShing,TA,BrkTil,TA,1.5Unf,5,0,1930,672,1,840,87000
1348,RL,VinylSd,VinylSd,TA,CBlock,TA,2Story,6,2,1966,660,1,660,155000
1053,RL,Plywood,Plywood,TA,CBlock,TA,1Story,5,2,1958,1008,1,1053,150000
2157,RL,MetalSd,MetalSd,TA,CBlock,TA,2Story,7,2,1966,924,2,1216,226000
2054,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2000,992,2,1022,244000
1327,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5,2,1959,1063,1,1327,150750
1296,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8,2,2001,1267,2,1296,220000
1721,RL,Plywood,Plywood,TA,CBlock,TA,1Story,5,2,1968,1461,2,1721,180000
1682,RL,Plywood,Plywood,TA,PConc,TA,1Story,7,2,1970,1304,2,1682,174000
1214,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5,1,1967,1214,2,1214,143000
1959,RL,VinylSd,VinylSd,TA,CBlock,TA,1Story,7,3,1988,1907,3,1959,171000
1852,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8,3,1999,1004,2,1004,230000
1764,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6,2,1997,928,2,928,231500
864,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,4,0,1971,864,1,864,115000
1734,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2005,1734,2,1734,260000
1385,RL,Wd Sdng,BrkFace,TA,CBlock,TA,1.5Fin,5,2,1952,910,2,910,166000
1501,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,1999,1490,2,1501,204000
1728,RM,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,2,1963,1728,2,1728,125000
1709,RM,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2004,970,2,970,130000
875,RM,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1Story,5,1,1931,715,1,875,105000
2035,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2001,884,2,884,222500
1080,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,7,0,2004,1080,1,1080,141000
1344,RM,MetalSd,MetalSd,Gd,BrkTil,TA,1.5Fin,5,1,1936,896,1,896,115000
969,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,2,1975,969,1,969,122000
1710,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8,3,2007,1710,2,1710,372402
1993,RL,HdBoard,HdBoard,TA,CBlock,TA,2Story,6,2,1971,825,2,1097,190000
1252,RL,Plywood,BrkFace,Gd,CBlock,TA,1Story,6,2,1960,1602,1,1252,235000
1200,RM,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1Story,6,1,1923,1200,1,1200,125000
1096,RL,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,6,0,1924,572,1,572,79000
1040,RL,Wd Sdng,Wd Sdng,,CBlock,TA,1Story,5,2,1950,0,1,1040,109500
1968,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8,3,2009,774,2,774,269500
1947,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2004,991,2,991,254900
2462,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2005,1392,2,1392,320000
1232,RL,Plywood,Plywood,Gd,PConc,TA,1Story,6,2,1984,1232,2,1232,162500
2668,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,9,3,2003,1572,2,1572,412500
1541,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2005,1541,2,1541,220000
882,RL,MetalSd,MetalSd,TA,CBlock,TA,1.5Unf,4,0,1956,882,1,882,103200
1616,RM,MetalSd,MetalSd,TA,BrkTil,TA,1Story,6,1,1926,1149,2,1149,152000
1355,RL,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,5,0,1940,644,2,808,127500
1867,RL,Wd Sdng,Wd Sdng,TA,CBlock,Gd,1Story,5,1,1955,1617,1,1867,190000
2161,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8,3,2007,1582,1,1610,325624
1720,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2004,840,2,840,183500
1707,RL,Plywood,Plywood,Gd,CBlock,Gd,1Story,8,2,1981,1686,2,1707,228000
1382,RM,MetalSd,MetalSd,TA,CBlock,TA,1.5Fin,5,2,1941,720,1,854,128500
1656,RL,Plywood,BrkFace,TA,CBlock,TA,1Story,6,2,1960,1080,1,1656,215000
1767,RL,HdBoard,HdBoard,Gd,PConc,Gd,2Story,7,2,1987,1064,2,1064,239000
1362,RL,Wd Shng,WdShing,TA,CBlock,TA,1Story,6,2,1961,1362,1,1362,163000
1651,RL,Plywood,VinylSd,Gd,CBlock,TA,1Story,6,2,1986,1606,2,1651,184000
2158,RL,Wd Shng,WdShing,TA,CBlock,TA,1Story,6,2,1950,1202,2,2158,243000
2060,RL,Plywood,Plywood,Gd,PConc,Gd,2Story,6,2,1988,1151,2,1164,211000
1920,RL,MetalSd,MetalSd,TA,CBlock,Gd,1.5Fin,5,2,1958,1052,2,1252,172500
2234,RL,VinylSd,VinylSd,Ex,PConc,Ex,1Story,9,3,2008,2216,2,2234,501837
968,RM,Wd Sdng,Wd Sdng,TA,CBlock,Gd,1Story,5,2,1923,968,1,968,100000
1525,FV,MetalSd,MetalSd,Gd,PConc,Gd,2Story,6,2,2000,756,2,769,177000
1802,RL,Stucco,Stucco,Fa,BrkTil,TA,2Story,7,1,1920,793,1,901,200100
1340,RL,Wd Sdng,Wd Sdng,,PConc,TA,1Story,5,1,1957,0,1,1340,120000
2082,RM,VinylSd,VinylSd,Gd,PConc,TA,1.5Fin,7,2,2003,1362,2,1362,200000
1252,RL,Plywood,AsbShng,Fa,PConc,TA,1.5Fin,5,2,1908,504,1,936,127000
3608,RM,Wd Sdng,Wd Sdng,TA,BrkTil,Gd,2.5Fin,10,3,1892,1107,2,1518,475000
1217,RL,HdBoard,HdBoard,Gd,PConc,TA,SLvl,7,2,1990,1188,2,1217,173000
1656,RL,HdBoard,HdBoard,Fa,CBlock,TA,1.5Fin,5,1,1916,660,2,808,135000
1224,RL,Plywood,Plywood,Gd,CBlock,TA,SFoyer,5,2,1979,1086,0,1224,153337
1593,RL,CmentBd,CemntBd,Ex,PConc,Gd,1Story,8,2,2001,1593,1,1593,286000
2727,RL,BrkFace,BrkFace,Gd,CBlock,Gd,2Story,8,2,1932,853,2,1549,315000
1479,RL,HdBoard,HdBoard,TA,CBlock,TA,2Story,7,2,1972,725,1,725,184000
1431,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,1999,1431,2,1431,192000
1709,RM,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2004,970,2,970,130000
864,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1972,864,1,864,127000
1456,RL,Brk Cmn,Plywood,Gd,CBlock,TA,2Story,6,2,1976,855,2,855,148500
1726,RL,CmentBd,CemntBd,Ex,PConc,Ex,1Story,7,3,2007,1726,2,1726,311872
3112,RL,Stucco,Stucco,TA,PConc,Gd,2Story,8,2,1918,1360,2,1360,235000
2229,RM,Wd Sdng,Wd Sdng,TA,CBlock,TA,2.5Fin,6,0,1912,755,1,929,104000
1713,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8,3,2004,1713,2,1713,274900
1121,RM,VinylSd,VinylSd,Gd,PConc,TA,1Story,4,2,2003,1121,2,1121,140000
1279,RL,Plywood,Plywood,TA,CBlock,TA,1Story,6,2,1977,1196,2,1279,171500
1310,RL,MetalSd,MetalSd,Fa,BrkTil,TA,1.5Fin,6,1,1924,617,2,865,112000
848,RM,VinylSd,VinylSd,Gd,PConc,Gd,1Story,6,2,2004,848,1,848,149000
1284,RM,AsbShng,AsbShng,TA,CBlock,TA,1.5Fin,5,1,1947,720,1,720,110000
1442,RL,HdBoard,HdBoard,Gd,PConc,TA,1Story,7,2,1990,1424,2,1442,180500
1696,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1962,1140,1,1696,143900
1100,RL,Wd Sdng,Wd Sdng,TA,PConc,TA,1Story,4,1,1960,1100,1,1100,141000
2062,RL,Plywood,Plywood,Gd,CBlock,Gd,2Story,7,2,1988,1157,2,1180,277000
1092,RL,HdBoard,HdBoard,Gd,CBlock,TA,1Story,6,2,1964,1092,1,1092,145000
864,RL,Stucco,Stucco,TA,CBlock,TA,1Story,5,0,1925,864,1,864,98000
1212,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,6,2,2009,1212,2,1212,186000
1852,FV,VinylSd,VinylSd,Gd,PConc,TA,2Story,7,2,2009,900,2,932,252678
990,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,5,2,1995,990,1,990,156000
1392,RL,HdBoard,HdBoard,Gd,CBlock,TA,2Story,6,1,1977,689,1,689,161750
1236,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1957,1070,1,1236,134450
1436,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2004,1436,2,1436,210000
1328,RM,MetalSd,MetalSd,TA,CBlock,TA,2Story,4,1,1925,686,1,810,107000
1954,RL,VinylSd,VinylSd,TA,CBlock,Gd,1.5Fin,7,2,1939,798,1,1137,311500
1248,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2005,1248,2,1248,167240
1498,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2006,1498,2,1498,204900
2267,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2002,1010,2,1010,200000
1552,RL,VinylSd,VinylSd,Gd,CBlock,TA,2Story,6,2,1975,713,2,811,179900
864,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,4,2,1971,864,1,864,97000
2392,RL,VinylSd,VinylSd,Ex,PConc,Ex,1Story,10,3,2003,2392,2,2392,386250
1302,RM,HdBoard,HdBoard,TA,CBlock,TA,2Story,5,1,1971,630,2,630,112000
2520,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,3,1995,1203,2,1214,290000
987,RM,HdBoard,HdBoard,TA,CBlock,TA,2Story,6,1,1970,483,1,483,106000
912,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1967,912,1,912,125000
1555,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2005,1373,2,1555,192500
1194,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,6,1,1959,1194,1,1194,148000
2794,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8,3,1995,1462,2,1490,403000
987,RM,HdBoard,HdBoard,TA,CBlock,TA,2Story,6,1,1972,483,1,483,94500
894,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1976,894,1,894,128200
1960,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2002,860,2,860,216500
987,RM,HdBoard,HdBoard,TA,CBlock,TA,2Story,6,1,1971,483,1,483,89500
1414,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2004,1414,2,1414,185500
1744,RL,HdBoard,HdBoard,Gd,PConc,Gd,2Story,7,2,1993,996,2,1014,194500
1694,RL,VinylSd,VinylSd,Ex,PConc,Ex,1Story,8,3,2007,1694,2,1694,318000
1487,RL,VinylSd,VinylSd,TA,CBlock,TA,1.5Fin,6,1,1945,735,1,798,113000
1566,FV,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8,2,2008,1566,2,1566,262500
866,RM,VinylSd,VinylSd,TA,CBlock,TA,1Story,5,0,1945,686,1,866,110500
1440,RM,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,5,1,1900,540,1,889,79000
1217,RL,Plywood,Plywood,Gd,CBlock,TA,2Story,6,1,1980,626,1,626,120000
2110,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,1994,948,2,1222,205000
1872,RL,Wd Sdng,Wd Sdng,Gd,CBlock,TA,1Story,7,2,1988,1845,2,1872,241500
1928,RM,AsbShng,AsbShng,Fa,Stone,TA,2Story,6,1,1910,1020,2,908,137000
1375,RL,BrkFace,Wd Sdng,TA,CBlock,TA,1Story,6,2,1954,1367,1,1375,140000
1668,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2003,840,2,840,180000
2144,RL,HdBoard,Wd Sdng,Gd,CBlock,Gd,1.5Fin,6,2,1958,1444,2,1444,277000
1306,RL,Plywood,Wd Sdng,TA,CBlock,TA,1Story,3,0,1940,728,1,1306,76500
1625,RM,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8,2,2006,1573,2,1625,235000
1640,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2004,798,2,798,173000
1302,RL,HdBoard,HdBoard,Gd,CBlock,TA,SLvl,6,1,1964,1302,2,1302,158000
1314,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5,1,1957,1314,1,1314,145000
2291,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,1999,975,2,1005,230000
1728,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6,2,2003,864,2,864,207500
1604,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,2,2006,1604,2,1604,220000
1792,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2001,963,2,963,231500
882,RM,BrkFace,BrkFace,,PConc,TA,1Story,5,1,1956,0,1,882,97000
1382,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,SLvl,6,2,1962,1362,1,1382,176000
2574,RL,CmentBd,CemntBd,Ex,PConc,Gd,2Story,8,3,2007,1482,2,1482,276000
1212,RL,Plywood,HdBoard,Gd,CBlock,TA,SLvl,6,2,1977,506,1,1212,151000
1316,RM,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,5,2,1929,926,1,926,130000
764,RM,Wd Sdng,Wd Sdng,Fa,BrkTil,TA,1Story,5,2,1925,680,1,764,73000
1422,RL,MetalSd,MetalSd,Gd,CBlock,TA,1Story,6,2,1981,1422,2,1422,175500
1511,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6,2,1997,802,2,802,185000
2192,RL,Wd Sdng,Wd Sdng,TA,PConc,TA,2.5Fin,5,1,1939,720,2,1052,179500
778,RM,VinylSd,VinylSd,TA,CBlock,TA,1Story,5,1,1940,740,1,778,120500
