GrLivArea,MSZoning,Exterior2nd,Exterior1st,BsmtQual,Foundation,ExterQual,HouseStyle,OverallQual,GarageCars,YearBuilt,TotalBsmtSF,FullBath,1stFlrSF,SalePrice
1620.0,RL,Plywood,Plywood,TA,CBlock,TA,1Story,4.0,2.0,1976.0,1281.0,2.0,1620.0,150000.0
858.0,RL,Wd Sdng,Wd Sdng,Gd,CBlock,TA,SFoyer,5.0,2.0,1982.0,858.0,1.0,858.0,134900.0
1301.0,FV,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2006.0,1293.0,2.0,1301.0,187750.0
1505.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,6.0,2.0,1953.0,1505.0,1.0,1505.0,149500.0
864.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,4.0,1.0,1970.0,864.0,1.0,864.0,116050.0
1224.0,RL,Plywood,Plywood,Gd,CBlock,TA,SFoyer,5.0,2.0,1979.0,1086.0,0.0,1224.0,153337.0
1383.0,RL,Plywood,Wd Sdng,Gd,PConc,TA,1Story,5.0,1.0,1954.0,1383.0,1.0,1383.0,165000.0
816.0,RL,VinylSd,VinylSd,TA,CBlock,Gd,1Story,5.0,1.0,1982.0,816.0,1.0,816.0,130500.0
1344.0,RM,VinylSd,VinylSd,Gd,PConc,TA,SFoyer,7.0,4.0,1997.0,1344.0,2.0,1344.0,206300.0
1392.0,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,2007.0,689.0,2.0,703.0,146000.0
1065.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5.0,2.0,1960.0,1065.0,1.0,1065.0,126500.0
1250.0,RL,Wd Shng,Wd Sdng,TA,PConc,TA,1.5Fin,5.0,2.0,1910.0,661.0,2.0,661.0,139000.0
1452.0,RM,MetalSd,MetalSd,TA,BrkTil,TA,2Story,4.0,0.0,1920.0,736.0,2.0,736.0,113000.0
1096.0,RL,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,6.0,0.0,1924.0,572.0,1.0,572.0,79000.0
1428.0,FV,CmentBd,CemntBd,Gd,PConc,Gd,1Story,7.0,2.0,2007.0,1428.0,2.0,1428.0,182000.0
1658.0,RL,HdBoard,HdBoard,Gd,PConc,TA,2Story,6.0,2.0,1995.0,773.0,2.0,773.0,188000.0
864.0,RL,VinylSd,VinylSd,TA,CBlock,TA,1Story,5.0,2.0,1950.0,864.0,1.0,864.0,129000.0
1928.0,RH,VinylSd,VinylSd,TA,PConc,TA,2Story,5.0,0.0,1916.0,686.0,2.0,948.0,160000.0
1537.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,Gd,1Story,6.0,2.0,1962.0,1319.0,1.0,1537.0,174000.0
1863.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,3.0,2006.0,879.0,2.0,879.0,219210.0
2007.0,FV,VinylSd,VinylSd,Ex,PConc,Ex,2Story,10.0,3.0,2008.0,1017.0,2.0,1026.0,310000.0
1792.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,9.0,3.0,2003.0,1792.0,2.0,1792.0,374000.0
968.0,RM,Wd Sdng,Wd Sdng,TA,CBlock,Gd,1Story,5.0,2.0,1923.0,968.0,1.0,968.0,100000.0
2654.0,RL,HdBoard,HdBoard,TA,CBlock,TA,2Story,6.0,2.0,1968.0,1054.0,2.0,1512.0,250000.0
960.0,RL,VinylSd,VinylSd,TA,CBlock,TA,SLvl,4.0,1.0,1965.0,648.0,0.0,960.0,145000.0
2775.0,RM,Wd Sdng,Wd Sdng,TA,BrkTil,Ex,2.5Unf,10.0,2.0,1893.0,1237.0,3.0,1521.0,325000.0
2643.0,RL,VinylSd,VinylSd,Gd,PConc,Ex,2Story,9.0,3.0,2006.0,2153.0,2.0,2069.0,380000.0
1646.0,RM,CmentBd,CemntBd,Ex,PConc,Gd,1Story,8.0,2.0,2004.0,1594.0,2.0,1646.0,275000.0
1298.0,RL,Wd Shng,Wd Sdng,Gd,CBlock,Gd,1Story,6.0,2.0,1985.0,1298.0,2.0,1298.0,180000.0
1694.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,8.0,3.0,2008.0,1694.0,2.0,1694.0,245350.0
958.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,6.0,1.0,1960.0,958.0,1.0,958.0,151500.0
999.0,RL,MetalSd,MetalSd,TA,CBlock,TA,SFoyer,5.0,1.0,1962.0,925.0,1.0,999.0,134500.0
1020.0,RL,VinylSd,VinylSd,TA,CBlock,TA,1.5Fin,5.0,0.0,1875.0,780.0,1.0,780.0,94000.0
1674.0,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,2000.0,814.0,2.0,814.0,216000.0
2113.0,RL,MetalSd,MetalSd,Gd,PConc,Gd,1Story,8.0,3.0,1995.0,2109.0,2.0,2113.0,350000.0
2030.0,RL,Plywood,Plywood,TA,CBlock,TA,2Story,6.0,2.0,1976.0,848.0,2.0,1118.0,195000.0
1217.0,RL,Plywood,Plywood,Gd,CBlock,TA,2Story,6.0,1.0,1980.0,626.0,1.0,626.0,120000.0
2169.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8.0,2.0,2002.0,1284.0,2.0,1284.0,228500.0
1850.0,RL,HdBoard,HdBoard,Gd,PConc,Gd,2Story,7.0,2.0,1994.0,973.0,2.0,979.0,248000.0
1144.0,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5.0,1.0,1963.0,1144.0,1.0,1144.0,124000.0
1504.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2005.0,1346.0,2.0,1504.0,191000.0
1309.0,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,6.0,2.0,1974.0,1040.0,1.0,1309.0,181000.0
1258.0,RL,Wd Shng,WdShing,TA,BrkTil,TA,1.5Fin,6.0,1.0,1939.0,560.0,1.0,698.0,105000.0
1422.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5.0,1.0,1960.0,978.0,1.0,1422.0,139900.0
1442.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,6.0,1.0,1958.0,1442.0,1.0,1442.0,157900.0
1200.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1.5Fin,5.0,1.0,1946.0,768.0,1.0,768.0,130500.0
1664.0,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6.0,2.0,2000.0,953.0,2.0,953.0,172400.0
1360.0,RL,MetalSd,MetalSd,TA,CBlock,TA,SLvl,5.0,2.0,1955.0,384.0,1.0,1360.0,130000.0
1414.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8.0,2.0,2004.0,707.0,2.0,707.0,178000.0
1342.0,RL,Wd Sdng,BrkFace,TA,CBlock,TA,1Story,6.0,2.0,1967.0,1372.0,2.0,1342.0,161500.0
1118.0,RM,MetalSd,MetalSd,Gd,CBlock,TA,1.5Fin,5.0,2.0,1939.0,793.0,1.0,793.0,119900.0
2345.0,RL,Wd Sdng,Wd Sdng,Gd,BrkTil,TA,2Story,6.0,2.0,1932.0,952.0,2.0,1170.0,239000.0
1844.0,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,6.0,2.0,1977.0,1844.0,2.0,1844.0,190000.0
987.0,RM,HdBoard,HdBoard,TA,CBlock,TA,2Story,6.0,1.0,1971.0,483.0,1.0,483.0,85400.0
1610.0,RL,Plywood,Plywood,TA,PConc,TA,1Story,6.0,2.0,1977.0,1610.0,2.0,1610.0,205000.0
1080.0,RL,VinylSd,VinylSd,TA,PConc,TA,1Story,6.0,2.0,1983.0,1084.0,1.0,1080.0,134000.0
1622.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,4.0,4.0,1961.0,1249.0,1.0,1622.0,168000.0
1511.0,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6.0,2.0,1997.0,802.0,2.0,802.0,185000.0
1152.0,RL,HdBoard,Wd Sdng,TA,PConc,TA,SLvl,5.0,2.0,1964.0,1152.0,1.0,1152.0,180500.0
1558.0,RM,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,5.0,1.0,1950.0,910.0,1.0,910.0,152000.0
1911.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8.0,2.0,1993.0,777.0,2.0,1065.0,215000.0
1306.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5.0,1.0,1957.0,992.0,1.0,1306.0,153000.0
2138.0,RM,AsbShng,AsbShng,TA,PConc,TA,2.5Unf,5.0,2.0,1898.0,849.0,2.0,1075.0,106000.0
2466.0,FV,CmentBd,CemntBd,Gd,PConc,Gd,2Story,8.0,2.0,2004.0,1580.0,3.0,1580.0,340000.0
1734.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,6.0,2.0,1962.0,912.0,1.0,1085.0,159000.0
1158.0,RM,Wd Shng,WdShing,TA,BrkTil,TA,1.5Fin,6.0,1.0,1929.0,862.0,1.0,950.0,120000.0
1771.0,RL,HdBoard,HdBoard,,Slab,TA,1Story,5.0,2.0,1960.0,0.0,1.0,1771.0,115000.0
958.0,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,6.0,2.0,1976.0,1078.0,2.0,958.0,128000.0
1828.0,RL,CmentBd,CemntBd,Ex,PConc,Ex,1Story,9.0,3.0,2007.0,1822.0,2.0,1828.0,314813.0
1716.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,5.0,1.0,1949.0,768.0,1.0,1148.0,131000.0
2713.0,RL,VinylSd,VinylSd,Ex,PConc,Ex,2Story,9.0,3.0,2008.0,1452.0,2.0,1476.0,446261.0
1367.0,RM,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,6.0,1.0,1931.0,884.0,1.0,959.0,127500.0
1826.0,RM,Stucco,Stucco,TA,PConc,Gd,2Story,7.0,1.0,1915.0,910.0,1.0,916.0,155000.0
1200.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,6.0,2.0,1995.0,1200.0,2.0,1200.0,177500.0
1382.0,RM,MetalSd,MetalSd,TA,CBlock,TA,1.5Fin,5.0,2.0,1941.0,720.0,1.0,854.0,128500.0
1456.0,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6.0,2.0,2005.0,728.0,2.0,728.0,176000.0
2448.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8.0,3.0,1994.0,1629.0,2.0,1686.0,402000.0
1964.0,RH,MetalSd,MetalSd,TA,PConc,TA,2Story,5.0,0.0,1911.0,940.0,1.0,1024.0,130000.0
1092.0,RL,HdBoard,HdBoard,Gd,CBlock,TA,1Story,6.0,2.0,1964.0,1092.0,1.0,1092.0,145000.0
1113.0,RL,MetalSd,MetalSd,TA,CBlock,Gd,1Story,5.0,1.0,1950.0,1113.0,1.0,1113.0,147000.0
864.0,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,4.0,0.0,1971.0,864.0,1.0,864.0,115000.0
1804.0,RL,VinylSd,VinylSd,TA,PConc,TA,2Story,7.0,2.0,1999.0,994.0,2.0,1028.0,189000.0
1632.0,RL,Plywood,HdBoard,TA,CBlock,TA,1Story,5.0,2.0,1967.0,1632.0,2.0,1632.0,143000.0
2614.0,RL,HdBoard,HdBoard,TA,CBlock,TA,2Story,6.0,2.0,1974.0,1522.0,2.0,1548.0,240000.0
1314.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2007.0,1314.0,2.0,1314.0,230000.0
1923.0,RL,HdBoard,HdBoard,Gd,PConc,Gd,2Story,7.0,2.0,1992.0,750.0,2.0,1061.0,190000.0
1484.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2004.0,1473.0,2.0,1484.0,213000.0
708.0,RL,VinylSd,VinylSd,TA,CBlock,Fa,1Story,4.0,0.0,1940.0,420.0,1.0,708.0,82500.0
1713.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8.0,3.0,2004.0,1713.0,2.0,1713.0,274900.0
1269.0,RL,Wd Sdng,BrkFace,TA,CBlock,TA,1Story,5.0,1.0,1960.0,1269.0,1.0,1269.0,155000.0
2097.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8.0,3.0,2005.0,2077.0,1.0,2097.0,423000.0
864.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5.0,1.0,1972.0,864.0,1.0,864.0,128500.0
2184.0,RL,VinylSd,VinylSd,Ex,PConc,Ex,2Story,9.0,3.0,2008.0,1104.0,2.0,1130.0,335000.0
1624.0,RL,ImStucc,ImStucc,Gd,PConc,Gd,1Story,8.0,3.0,1994.0,1624.0,2.0,1624.0,262000.0
1040.0,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5.0,1.0,1965.0,1040.0,1.0,1040.0,129500.0
2035.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,2001.0,884.0,2.0,884.0,222500.0
1494.0,RL,BrkFace,BrkFace,Gd,PConc,Gd,1Story,8.0,2.0,1995.0,1494.0,1.0,1494.0,270000.0
1314.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2007.0,1314.0,2.0,1314.0,207500.0
1743.0,RL,AsphShn,HdBoard,TA,CBlock,Gd,2Story,6.0,2.0,1968.0,702.0,1.0,1041.0,175000.0
2127.0,RL,HdBoard,HdBoard,Ex,PConc,Gd,2Story,7.0,3.0,1991.0,1104.0,2.0,912.0,238000.0
1716.0,RL,VinylSd,VinylSd,TA,PConc,TA,2Story,5.0,0.0,1912.0,780.0,2.0,936.0,135900.0
1358.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2009.0,1358.0,2.0,1358.0,224000.0
1430.0,RL,VinylSd,VinylSd,Gd,PConc,TA,SLvl,7.0,2.0,2000.0,384.0,2.0,774.0,170000.0
1221.0,FV,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2004.0,1221.0,2.0,1221.0,185000.0
2094.0,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,2003.0,912.0,2.0,912.0,263000.0
864.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5.0,1.0,1965.0,864.0,1.0,864.0,62383.0
1053.0,RL,Plywood,Plywood,TA,CBlock,TA,1Story,5.0,2.0,1958.0,1008.0,1.0,1053.0,150000.0
1701.0,RL,HdBoard,HdBoard,Gd,CBlock,TA,SFoyer,5.0,2.0,1975.0,1390.0,2.0,1701.0,171000.0
1056.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5.0,1.0,1958.0,1056.0,1.0,1056.0,139000.0
1163.0,RM,VinylSd,VinylSd,TA,CBlock,TA,1Story,3.0,1.0,1955.0,1162.0,1.0,1163.0,126175.0
1665.0,FV,CmentBd,CemntBd,Gd,PConc,Gd,2Story,7.0,2.0,2007.0,813.0,2.0,822.0,205950.0
1196.0,RL,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Fin,6.0,2.0,1920.0,684.0,1.0,684.0,110000.0
3140.0,RL,VinylSd,VinylSd,Ex,PConc,Ex,2Story,9.0,3.0,2008.0,1926.0,3.0,1966.0,485000.0
1682.0,RL,Plywood,Plywood,TA,PConc,TA,1Story,7.0,2.0,1970.0,1304.0,2.0,1682.0,174000.0
1072.0,RM,VinylSd,VinylSd,Gd,PConc,TA,SLvl,5.0,2.0,2005.0,547.0,1.0,1072.0,145000.0
1547.0,FV,VinylSd,VinylSd,Gd,PConc,TA,2Story,7.0,2.0,2009.0,756.0,2.0,764.0,215200.0
1905.0,RL,ImStucc,VinylSd,Ex,PConc,Ex,1Story,9.0,3.0,2006.0,1905.0,2.0,1905.0,320000.0
1661.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,1996.0,799.0,2.0,827.0,212000.0
1350.0,RL,Wd Sdng,Plywood,TA,CBlock,TA,SLvl,6.0,2.0,1964.0,1248.0,1.0,1350.0,168500.0
1845.0,RL,Wd Sdng,Wd Sdng,Gd,PConc,Gd,2Story,6.0,2.0,1992.0,1055.0,2.0,1055.0,189000.0
1601.0,RL,MetalSd,MetalSd,TA,CBlock,TA,SLvl,5.0,1.0,1958.0,533.0,1.0,1021.0,140000.0
1498.0,RL,HdBoard,HdBoard,Gd,PConc,TA,2Story,6.0,2.0,1995.0,691.0,2.0,691.0,187500.0
1947.0,FV,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,2004.0,991.0,2.0,991.0,254900.0
1098.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,5.0,1.0,1955.0,1098.0,1.0,1098.0,135000.0
1054.0,RL,HdBoard,HdBoard,Gd,CBlock,TA,1Story,6.0,2.0,1969.0,1054.0,1.0,1054.0,151000.0
928.0,RM,BrkFace,BrkFace,TA,CBlock,TA,1Story,5.0,1.0,1957.0,928.0,1.0,928.0,112500.0
1820.0,RL,Wd Sdng,Wd Sdng,TA,PConc,TA,1.5Fin,7.0,1.0,1925.0,1026.0,2.0,1133.0,184000.0
3082.0,RL,Plywood,Wd Sdng,TA,BrkTil,TA,2.5Fin,7.0,2.0,1920.0,824.0,2.0,1687.0,197000.0
1788.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,4.0,1.0,1957.0,1104.0,1.0,1104.0,161500.0
1022.0,RM,Stucco,MetalSd,TA,BrkTil,TA,1Story,5.0,1.0,1910.0,1022.0,1.0,1022.0,85000.0
1274.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2005.0,1274.0,2.0,1274.0,203000.0
2504.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,9.0,3.0,2005.0,1122.0,2.0,1134.0,325000.0
2153.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,9.0,3.0,2000.0,1440.0,2.0,1476.0,313000.0
2031.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8.0,2.0,2002.0,1128.0,2.0,1128.0,237000.0
1824.0,RL,Wd Sdng,Wd Sdng,TA,PConc,TA,2Story,6.0,2.0,1919.0,764.0,1.0,1060.0,180500.0
1008.0,RL,BrkFace,BrkFace,TA,CBlock,TA,1Story,5.0,1.0,1954.0,1008.0,1.0,1008.0,137000.0
694.0,RL,Stucco,WdShing,TA,PConc,TA,1Story,5.0,1.0,1913.0,440.0,1.0,694.0,90350.0
1728.0,RL,Plywood,Plywood,TA,CBlock,TA,1Story,6.0,2.0,1976.0,1728.0,2.0,1728.0,150900.0
1588.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,1999.0,1588.0,2.0,1588.0,214000.0
1392.0,RL,Wd Sdng,Wd Sdng,Gd,CBlock,TA,1Story,5.0,2.0,1957.0,1392.0,1.0,1392.0,121500.0
4476.0,RL,ImStucc,Wd Sdng,Ex,PConc,Gd,2Story,10.0,3.0,1996.0,2396.0,3.0,2411.0,745000.0
1969.0,RL,Plywood,WdShing,Gd,CBlock,TA,2Story,7.0,2.0,1977.0,808.0,2.0,1161.0,190000.0
1504.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2005.0,1346.0,2.0,1504.0,181000.0
1276.0,RL,Brk Cmn,BrkComm,TA,CBlock,TA,1Story,5.0,1.0,1958.0,1276.0,1.0,1276.0,60000.0
1800.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,9.0,2.0,2007.0,1800.0,2.0,1800.0,239000.0
816.0,RL,HdBoard,HdBoard,Gd,CBlock,TA,SFoyer,6.0,0.0,1990.0,816.0,1.0,816.0,118500.0
1040.0,RL,Wd Sdng,Wd Sdng,,CBlock,TA,1Story,5.0,2.0,1950.0,0.0,1.0,1040.0,109500.0
924.0,RL,HdBoard,HdBoard,Gd,CBlock,TA,1Story,5.0,1.0,1975.0,924.0,1.0,924.0,110000.0
832.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1.5Unf,6.0,2.0,1954.0,832.0,1.0,832.0,105500.0
1886.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,1998.0,930.0,2.0,956.0,199900.0
2196.0,RL,HdBoard,HdBoard,Gd,CBlock,Gd,1Story,7.0,3.0,1990.0,2158.0,2.0,2196.0,271900.0
1039.0,RL,HdBoard,Plywood,TA,PConc,TA,1Story,5.0,2.0,1965.0,1039.0,1.0,1039.0,131500.0
1271.0,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1.5Fin,5.0,1.0,1948.0,720.0,2.0,720.0,135000.0
1367.0,RL,MetalSd,MetalSd,TA,BrkTil,TA,1.5Fin,5.0,1.0,1900.0,861.0,1.0,961.0,119000.0
2093.0,RL,Plywood,Plywood,Gd,CBlock,TA,2Story,7.0,2.0,1986.0,791.0,2.0,1236.0,215000.0
864.0,RL,Plywood,HdBoard,TA,CBlock,TA,1Story,5.0,1.0,1972.0,864.0,1.0,864.0,133500.0
2447.0,RL,Wd Shng,Wd Sdng,TA,PConc,TA,1.5Fin,6.0,1.0,1919.0,804.0,2.0,1699.0,169000.0
1054.0,RL,MetalSd,MetalSd,TA,PConc,TA,SFoyer,6.0,2.0,1963.0,936.0,1.0,1054.0,137500.0
1120.0,RL,VinylSd,VinylSd,Gd,PConc,TA,1Story,5.0,0.0,2007.0,1120.0,1.0,1120.0,147000.0
1616.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,3.0,2005.0,1616.0,2.0,1616.0,232000.0
1073.0,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,5.0,2.0,1965.0,1073.0,1.0,1073.0,156000.0
1389.0,RL,HdBoard,HdBoard,Gd,CBlock,TA,1Story,5.0,2.0,1974.0,1389.0,1.0,1389.0,170000.0
861.0,RL,VinylSd,VinylSd,TA,CBlock,TA,1Story,4.0,2.0,1940.0,861.0,1.0,861.0,82500.0
1135.0,RL,Wd Sdng,Wd Sdng,Gd,PConc,Gd,2Story,7.0,2.0,1936.0,560.0,1.0,575.0,155000.0
2828.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,2Story,8.0,3.0,2006.0,1466.0,3.0,1466.0,424870.0
1616.0,RL,CmentBd,CemntBd,Gd,PConc,Gd,1Story,8.0,2.0,1995.0,1595.0,2.0,1616.0,236500.0
1437.0,RL,Plywood,Plywood,Gd,CBlock,Gd,1Story,5.0,2.0,1976.0,1437.0,2.0,1437.0,218000.0
1630.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2000.0,1630.0,2.0,1630.0,213000.0
1800.0,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8.0,3.0,2002.0,1800.0,2.0,1800.0,312500.0
1855.0,RL,Plywood,Plywood,TA,CBlock,Gd,SLvl,6.0,2.0,1976.0,528.0,2.0,1094.0,187000.0
1675.0,RL,VinylSd,VinylSd,Gd,PConc,TA,2Story,6.0,2.0,1999.0,841.0,2.0,892.0,181000.0
2084.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7.0,2.0,2004.0,956.0,2.0,956.0,233000.0
