iter	Passed	Remaining
244	418	1289
245	419	1286
246	420	1282
247	421	1279
248	422	1275
249	424	1272
250	425	1268
251	426	1265
252	427	1261
253	428	1258
254	429	1254
255	430	1251
256	431	1248
257	432	1244
258	433	1241
259	435	1238
260	436	1235
261	437	1231
262	438	1228
263	439	1225
264	440	1222
265	441	1218
266	442	1216
267	444	1213
268	445	1210
269	446	1207
270	447	1204
271	449	1202
272	450	1199
273	451	1196
274	452	1193
275	453	1190
276	455	1190
277	457	1187
278	459	1186
279	460	1183
280	462	1183
281	464	1182
282	465	1179
283	466	1177
284	468	1175
285	469	1173
286	471	1170
287	472	1167
288	473	1165
289	475	1163
290	476	1160
291	477	1157
292	478	1154
293	479	1151
294	481	1150
295	482	1147
296	483	1144
297	484	1141
298	485	1139
299	487	1136
300	488	1134
301	489	1131
302	490	1129
303	491	1126
304	493	1123
305	494	1121
306	495	1119
307	496	1116
308	498	1113
309	499	1111
310	500	1109
311	501	1106
312	502	1103
313	503	1100
314	504	1098
315	506	1096
316	507	1094
317	509	1091
318	510	1089
319	511	1086
320	512	1084
321	513	1081
322	514	1078
323	515	1076
324	516	1073
325	518	1071
326	519	1069
327	520	1066
328	525	1072
329	527	1070
330	528	1067
331	529	1065
332	530	1062
333	531	1060
334	532	1058
335	534	1055
336	535	1052
337	536	1050
338	537	1047
339	538	1045
340	539	1043
341	541	1041
342	542	1038
343	543	1036
344	544	1034
345	546	1032
346	547	1030
347	548	1027
348	549	1025
349	550	1022
350	552	1020
351	553	1018
352	554	1016
353	555	1014
354	556	1011
355	558	1010
356	559	1008
357	560	1005
358	561	1003
359	562	1000
360	564	998
361	565	996
362	566	994
363	567	992
364	569	989
365	570	987
366	571	986
367	573	984
368	574	982
369	575	979
370	576	977
371	578	976
372	579	974
373	580	971
374	581	969
375	583	967
376	584	966
377	586	964
378	587	962
379	589	961
380	590	959
381	592	958
382	593	956
383	594	954
384	596	952
385	597	951
386	599	949
387	601	948
388	602	946
389	604	945
390	605	943
391	607	941
392	608	940
393	610	938
394	611	936
395	612	934
396	614	933
397	616	931
398	617	930
399	619	928
400	620	927
401	622	925
402	623	924
403	625	922
404	626	920
405	628	919
406	629	917
407	631	916
408	632	914
409	634	912
410	636	911
411	637	909
412	638	908
413	640	906
414	641	904
415	643	902
416	644	901
417	645	899
418	647	897
419	649	896
420	651	895
421	652	893
422	653	892
423	655	890
424	657	889
425	658	887
426	659	885
427	661	883
428	662	882
429	664	880
430	665	878
431	666	876
432	668	875
433	669	873
434	671	871
435	672	869
436	673	868
437	675	866
438	676	864
439	677	862
440	678	860
441	679	858
442	681	856
443	683	855
444	684	853
445	685	851
446	686	849
447	688	848
448	689	846
449	690	844
450	692	842
451	693	840
452	694	839
453	696	837
454	697	835
455	698	833
456	700	832
457	701	830
458	702	828
459	704	826
460	705	824
461	707	823
462	708	822
463	710	820
464	711	818
465	712	816
466	714	815
467	715	813
468	716	811
469	718	809
470	719	808
471	721	806
472	722	805
473	724	803
474	725	801
475	726	800
476	728	798
477	729	796
478	730	794
479	732	793
480	733	791
481	735	790
482	736	788
483	737	786
484	739	785
485	740	783
486	741	781
487	742	779
488	744	777
489	745	776
490	747	774
491	748	772
492	749	771
493	751	769
494	752	767
495	753	765
496	754	764
497	756	762
498	757	760
499	758	758
500	760	757
501	761	755
502	763	754
503	764	752
504	765	750
505	767	749
506	768	747
507	769	745
508	771	743
509	772	742
510	773	740
511	775	738
512	776	737
513	777	735
514	779	733
515	780	732
516	781	730
517	782	728
518	784	726
519	786	725
520	787	723
521	788	722
522	790	720
523	791	719
524	792	717
525	794	715
526	795	713
527	796	712
528	798	710
529	799	709
530	801	707
531	802	705
532	803	704
533	805	702
534	806	701
535	807	699
536	809	697
537	810	696
538	812	694
539	813	692
540	814	691
541	815	689
542	817	688
543	818	686
544	820	684
545	821	682
546	822	681
547	824	679
548	825	678
549	826	676
550	827	674
551	829	672
552	830	671
553	831	669
554	833	668
555	834	666
556	835	664
557	837	663
558	838	661
559	839	659
560	841	658
561	842	656
562	843	655
563	845	653
564	846	651
565	847	650
566	849	648
567	850	646
568	851	645
569	853	643
570	854	641
571	855	640
572	857	638
573	858	637
574	860	635
575	861	634
576	863	632
577	864	631
578	865	629
579	867	627
580	868	626
581	869	624
582	871	623
583	872	621
584	873	619
585	874	618
586	876	616
587	877	615
588	879	613
589	880	612
590	882	610
591	883	609
592	885	607
593	886	605
594	887	604
595	889	602
596	890	601
597	892	599
598	893	598
599	894	596
600	896	595
601	897	593
602	899	591
603	900	590
604	902	589
605	903	587
606	905	586
607	907	585
608	908	583
609	910	581
610	911	580
611	912	578
612	914	577
613	915	575
614	917	574
615	918	572
616	919	570
617	921	569
618	922	567
619	923	566
620	924	564
621	926	562
622	927	561
623	928	559
624	929	557
625	931	556
626	932	554
627	933	553
628	935	551
629	936	550
630	937	548
631	939	546
632	940	545
633	941	543
634	942	541
635	944	540
636	945	538
637	946	537
638	948	535
639	949	533
640	950	532
641	952	530
642	953	529
643	954	527
644	955	526
645	957	524
646	958	523
647	960	521
648	961	519
649	962	518
650	964	516
651	965	515
652	966	513
653	967	512
654	969	510
655	970	508
656	971	507
657	973	505
658	974	504
659	975	502
660	977	501
661	979	499
662	980	498
663	982	496
664	983	495
665	985	494
666	986	492
667	987	490
668	988	489
669	990	487
670	991	486
671	993	484
672	994	483
673	995	481
674	997	480
675	998	478
676	1000	477
677	1001	475
678	1003	474
679	1004	472
680	1005	471
681	1007	469
682	1008	468
683	1010	466
684	1012	465
685	1013	463
686	1015	462
687	1016	461
688	1018	459
689	1019	458
690	1020	456
691	1022	454
692	1023	453
693	1025	451
694	1026	450
695	1027	448
696	1029	447
697	1031	446
698	1032	444
699	1033	443
700	1035	441
701	1036	440
702	1037	438
703	1038	436
704	1040	435
705	1041	433
706	1042	432
707	1044	430
708	1045	429
709	1046	427
710	1048	426
711	1049	424
712	1050	422
713	1051	421
714	1053	419
715	1054	418
716	1055	416
717	1057	415
718	1058	413
719	1060	412
720	1061	410
721	1062	409
722	1064	407
723	1065	406
724	1066	404
725	1068	403
726	1070	401
727	1071	400
728	1072	398
729	1073	397
730	1075	395
731	1076	394
732	1077	392
733	1078	390
734	1080	389
735	1081	387
736	1082	386
737	1083	384
738	1085	383
739	1086	381
740	1087	380
741	1089	378
742	1090	377
743	1091	375
744	1093	374
745	1094	372
746	1095	371
747	1096	369
748	1098	368
749	1099	366
750	1101	365
751	1102	363
752	1103	361
753	1104	360
754	1106	358
755	1107	357
756	1108	355
757	1110	354
758	1111	352
759	1112	351
760	1114	349
761	1115	348
762	1116	346
763	1118	345
764	1119	343
765	1120	342
766	1121	340
767	1123	339
768	1124	337
769	1126	336
770	1127	334
771	1128	333
772	1129	331
773	1131	330
774	1132	328
775	1133	327
776	1135	325
777	1136	324
778	1138	322
779	1139	321
780	1140	319
781	1141	318
782	1142	316
783	1144	315
784	1145	313
785	1147	312
786	1148	310
787	1149	309
788	1151	307
789	1152	306
790	1153	304
791	1155	303
792	1156	301
793	1157	300
794	1159	298
795	1160	297
796	1161	295
797	1163	294
798	1164	293
799	1165	291
800	1167	289
801	1168	288
802	1169	286
803	1171	285
804	1172	283
805	1173	282
806	1174	280
807	1176	279
808	1177	278
809	1178	276
810	1180	275
811	1181	273
812	1182	272
813	1184	270
814	1185	269
815	1186	267
816	1188	266
817	1189	264
818	1190	263
819	1192	261
820	1193	260
821	1195	258
822	1196	257
823	1197	255
824	1199	254
825	1200	252
826	1202	251
827	1203	249
828	1204	248
829	1205	246
830	1206	245
831	1208	243
832	1209	242
833	1210	240
834	1212	239
835	1213	238
836	1214	236
837	1215	235
838	1216	233
839	1218	232
840	1220	230
841	1221	229
842	1222	227
843	1224	226
844	1225	224
845	1226	223
846	1227	221
847	1228	220
848	1230	218
849	1231	217
850	1233	215
851	1234	214
852	1235	212
853	1236	211
854	1238	210
855	1239	208
856	1241	207
857	1242	205
858	1244	204
859	1245	202
860	1246	201
861	1248	199
862	1249	198
863	1250	196
864	1252	195
865	1253	193
866	1254	192
867	1256	191
868	1257	189
869	1258	188
870	1259	186
871	1261	185
872	1262	183
873	1263	182
874	1264	180
875	1266	179
876	1267	177
877	1268	176
878	1269	174
879	1271	173
880	1272	171
881	1273	170
882	1275	168
883	1276	167
884	1277	166
885	1279	164
886	1280	163
887	1281	161
888	1282	160
889	1283	158
890	1285	157
891	1286	155
892	1287	154
893	1288	152
894	1289	151
895	1291	149
896	1292	148
897	1293	146
898	1294	145
899	1296	144
900	1297	142
901	1298	141
902	1299	139
903	1301	138
904	1302	136
905	1303	135
906	1304	133
907	1306	132
908	1307	130
909	1308	129
910	1310	127
911	1311	126
912	1312	125
913	1313	123
914	1314	122
915	1316	120
916	1317	119
917	1319	117
918	1320	116
919	1321	114
920	1322	113
921	1323	112
922	1325	110
923	1326	109
924	1327	107
925	1328	106
926	1329	104
927	1330	103
928	1332	101
929	1333	100
930	1334	98
931	1336	97
932	1337	96
933	1338	94
934	1339	93
935	1341	91
936	1342	90
937	1343	88
938	1344	87
939	1345	85
940	1347	84
941	1348	83
942	1350	81
943	1351	80
944	1352	78
945	1354	77
946	1355	75
947	1356	74
948	1357	72
949	1358	71
950	1359	70
951	1361	68
952	1362	67
953	1363	65
954	1364	64
955	1365	62
956	1367	61
957	1368	59
958	1369	58
959	1370	57
960	1371	55
961	1373	54
962	1374	52
963	1375	51
964	1377	49
965	1378	48
966	1379	47
967	1381	45
968	1382	44
969	1383	42
970	1384	41
971	1386	39
972	1387	38
973	1388	37
974	1389	35
975	1390	34
976	1392	32
977	1393	31
978	1394	29
979	1396	28
980	1397	27
981	1398	25
982	1399	24
983	1401	22
984	1402	21
985	1403	19
986	1404	18
987	1406	17
988	1407	15
989	1408	14
990	1409	12
991	1411	11
992	1412	9
993	1413	8
994	1415	7
995	1416	5
996	1417	4
997	1418	2
998	1420	1
999	1421	0
